iter	RMSE
0	24555.70512
1	23437.14562
2	21802.90269
3	20779.18832
4	20086.13214
5	19417.55945
6	19028.38174
7	18644.87759
8	18301.21787
9	18015.55474
10	17770.97811
11	17462.40128
12	17418.79001
13	17255.20937
14	17119.14559
15	17033.69007
16	16871.94744
17	16843.80115
18	16706.52738
19	16620.79788
20	16463.06459
21	16370.90382
22	16272.36858
23	16209.22874
24	16127.23774
25	16056.7744
26	16005.61569
27	15985.86872
28	15969.29181
29	15901.07105
30	15860.58632
31	15816.66212
32	15766.25925
33	15753.4495
34	15727.40596
35	15692.09404
36	15662.7925
37	15632.84411
38	15622.53009
39	15597.9492
40	15560.07839
41	15535.04366
42	15505.24594
43	15481.91882
44	15459.63029
45	15431.38224
46	15408.637
47	15391.1822
48	15383.64763
49	15359.31515
50	15336.89915
51	15317.26664
52	15302.11479
53	15280.10977
54	15268.77588
55	15243.97564
56	15224.34347
57	15218.47015
58	15207.70258
59	15202.77452
60	15193.07456
61	15178.40945
62	15160.7006
63	15147.39507
64	15135.50974
65	15122.72623
66	15118.46064
67	15106.46231
68	15089.86215
69	15078.44619
70	15068.947
71	15059.30091
72	15046.28092
73	15042.51703
74	15035.88191
75	15025.95154
76	15018.23306
77	15001.86344
78	14992.19873
79	14988.72726
80	14987.25183
81	14978.40769
82	14967.54777
83	14956.14061
84	14950.00926
85	14942.91332
86	14935.04605
87	14930.23415
88	14919.74577
89	14911.66054
90	14902.02175
91	14893.51465
92	14883.86345
93	14873.29015
94	14864.17218
95	14855.87026
96	14848.20993
97	14843.53646
98	14840.73954
99	14832.42611
100	14822.84432
101	14816.42046
102	14808.54947
103	14798.87701
104	14796.10744
105	14789.72504
106	14785.22541
107	14776.94585
108	14770.77687
109	14766.21035
110	14760.70706
111	14752.77998
112	14743.80006
113	14738.9163
114	14732.20918
115	14727.75671
116	14720.88615
117	14712.00165
118	14704.8624
119	14696.91981
120	14691.50757
121	14690.69052
122	14687.04862
123	14681.70762
124	14673.33772
125	14669.93101
126	14664.58237
127	14657.81669
128	14652.00201
129	14647.72915
130	14642.5876
131	14637.71975
132	14629.50208
133	14624.29801
134	14622.40866
135	14621.81186
136	14617.18447
137	14610.22273
138	14604.13081
139	14597.75357
140	14593.57304
141	14587.94185
142	14581.71777
143	14579.90737
144	14575.16422
145	14569.64462
146	14564.98067
147	14563.30198
148	14557.05598
149	14554.18869
