iter	Passed	Remaining
0	0	40
1	0	32
2	0	29
3	0	28
4	0	27
5	1	28
6	1	27
7	1	27
8	1	26
9	1	25
10	2	25
11	2	25
12	2	24
13	2	24
14	2	24
15	2	23
16	3	23
17	3	23
18	3	23
19	3	23
20	3	22
21	3	22
22	4	22
23	4	22
24	4	21
25	4	21
26	4	21
27	4	21
28	5	21
29	5	20
30	5	20
31	5	20
32	5	20
33	5	20
34	6	20
35	6	20
36	6	19
37	6	19
38	6	19
39	6	19
40	7	19
41	7	19
42	7	18
43	7	18
44	7	18
45	8	18
46	8	18
47	8	18
48	8	17
49	8	17
50	9	17
51	9	17
52	9	17
53	9	16
54	9	16
55	9	16
56	10	16
57	10	16
58	10	16
59	10	15
60	10	15
61	10	15
62	11	15
63	11	15
64	11	14
65	11	14
66	11	14
67	11	14
68	12	14
69	12	13
70	12	13
71	12	13
72	12	13
73	12	13
74	13	13
75	13	12
76	13	12
77	13	12
78	13	12
79	13	12
80	14	12
81	14	11
82	14	11
83	14	11
84	14	11
85	14	11
86	15	10
87	15	10
88	15	10
89	15	10
90	15	10
91	15	10
92	16	9
93	16	9
94	16	9
95	16	9
96	16	9
97	16	8
98	17	8
99	17	8
100	17	8
101	17	8
102	17	8
103	17	7
104	18	7
105	18	7
106	18	7
107	18	7
108	18	7
109	19	6
110	19	6
111	19	6
112	19	6
113	19	6
114	19	6
115	20	5
116	20	5
117	20	5
118	20	5
119	20	5
120	20	5
121	21	4
122	21	4
123	21	4
124	21	4
125	21	4
126	21	3
127	22	3
128	22	3
129	22	3
130	22	3
131	22	3
132	23	2
133	23	2
134	23	2
135	23	2
136	23	2
137	23	2
138	24	1
139	24	1
140	24	1
141	24	1
142	24	1
143	24	1
144	25	0
145	25	0
146	25	0
147	25	0
148	25	0
149	26	0
